"","Cyear","Lusimj","sLusi","sstmj","sSST","Beutimj","sbeuti","sLusi_lag4","sSST_lag4","sbeuti_lag4","Tumimj","sTumi","HCImj","sHCI","Windmj","sWind","STImj","sSTI","STI48mj","sSTI48","DO150mj","sDO150","DO50mj","sDO50","cutimj","scuti","ara150mj","sara150","ara40mj","sara40","sTumi_lag4","sHCI_lag4","sWind_lag4","sSTI_lag4","sSTI48_lag4","sDO150_lag4","sDO50_lag4","scuti_lag4","sara150_lag4","sara40_lag4","Landkg"
"1",1967,188,0.7391444761467,NA,NA,NA,NA,NA,NA,NA,10259.731,2.58791686835219,NA,NA,NA,NA,84,-1.19891835240172,87,-1.09505706404375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3820404.87
"2",1968,195,0.972316704053118,NA,NA,NA,NA,NA,NA,NA,9133.83,1.9868610521604,NA,NA,NA,NA,88,-1.03236203039142,87,-1.09505706404375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4894213.138
"3",1969,143,-0.759819846108846,NA,NA,NA,NA,NA,NA,NA,6567.234,0.616698441402788,NA,NA,NA,NA,116,0.133532223680671,117,-0.00687928481123999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8361474.575
"4",1970,213,1.57190243295534,NA,NA,NA,NA,NA,NA,NA,9135.859,1.98794422221802,NA,NA,NA,NA,75,-1.5736700769249,75,-1.53032817573675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8049287.812
"5",1971,188,0.7391444761467,NA,NA,NA,NA,0.7391444761467,NA,NA,5446.5015,0.0184017994065795,NA,NA,NA,NA,103,-0.407775822852802,103,-0.514695581786409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58791686835219,NA,NA,-1.19891835240172,-1.09505706404375,NA,NA,NA,NA,NA,5672469.69
"6",1972,202,1.20548893195954,NA,NA,NA,NA,0.972316704053118,NA,NA,6412.79,0.53424939439428,NA,NA,NA,NA,103,-0.407775822852802,103,-0.514695581786409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9868610521604,NA,NA,-1.03236203039142,-1.09505706404375,NA,NA,NA,NA,NA,4054613.661
"7",1973,179,0.439351611695591,NA,NA,NA,NA,-0.759819846108846,NA,NA,7765.874,1.25658555716175,NA,NA,NA,NA,80,-1.36547467441202,80,-1.34896521253133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.616698441402788,NA,NA,0.133532223680671,-0.00687928481123999,NA,NA,NA,NA,NA,1920820.805
"8",1974,195,0.972316704053118,NA,NA,NA,NA,1.57190243295534,NA,NA,6977.5054,0.8357194842717,NA,NA,NA,NA,101,-0.491053983857951,98,-0.696058544991827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.98794422221802,NA,NA,-1.5736700769249,-1.53032817573675,NA,NA,NA,NA,NA,1575237.85
"9",1975,192,0.872385749236082,NA,NA,NA,NA,0.7391444761467,NA,NA,8047.5107,1.40693570036978,NA,NA,NA,NA,82,-1.28219651340687,81,-1.31269261989025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0184017994065795,NA,NA,-0.407775822852802,-0.514695581786409,NA,NA,NA,NA,NA,2202580.592
"10",1976,197,1.03893734059781,NA,NA,NA,NA,1.20548893195954,NA,NA,4795.705,-0.329022193895021,NA,NA,NA,NA,101,-0.491053983857951,101,-0.587240767068576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53424939439428,NA,NA,-0.407775822852802,-0.514695581786409,NA,NA,NA,NA,NA,3821765.647
